DeveloperName,MasterLabel,License__c,Managed_Package_License__c,Permission_Set_License__c,Addon_License_Role__c,License_Management_Module__c
Infogenie1,Infogenie,,,,FALSE,FALSE
CPQ_Quote_Admin,CPQ Quote Admin,Salesforce CPQ License,,SalesforceCPQ_CPQStandardPerm,TRUE,FALSE
IPS_PS_Operations,IPS PS Operations,PSE,pse,,FALSE,FALSE
IPS_Subcon_Retainer1,IPS Subcon-Retainer,PSE,pse,,FALSE,FALSE
PSA_Subcontractor1,PSA Subcontractor,PSE,pse,,FALSE,FALSE
IPS_Associate_Consultant,IPS Associate Consultant,PSE,pse,,FALSE,FALSE
SOG1,SOG,,,,FALSE,FALSE
CPQ_Approvals_Admin1,CPQ Approvals Admin,Salesforce CPQ License;Salesforce CPQ AA License,,SalesforceCPQ_CPQStandardPerm;SalesforceCPQ_CPQAAPerm,TRUE,FALSE
CPQ_Billing_Admin1,CPQ Billing Admin,Salesforce CPQ License,,SalesforceCPQ_CPQStandardPerm,FALSE,FALSE
DocuSign,DocuSign,,,,FALSE,FALSE
IPS_Solution_Architect1,IPS Solution Architect,PSE,pse,,FALSE,FALSE
Marketer1,Marketer,,,,FALSE,FALSE
Product_and_Pricing,Product and Pricing,,,,FALSE,FALSE
Sales_Super_User1,Sales Super User,,,,FALSE,FALSE
Altify_Admin_User1,Altify Admin User,Altify;CSM,ALTF;DMAPP_SAM,,TRUE,FALSE
IPS_Intern1,IPS Intern,PSE,pse,,FALSE,FALSE
CPQ_Renewal_Rep,CPQ Renewal Rep,Salesforce CPQ License,,SalesforceCPQ_CPQStandardPerm,FALSE,FALSE
Finance_Account_Billing,Finance Account & Billing,Salesforce CPQ License,,SalesforceCPQ_CPQStandardPerm,FALSE,FALSE
Generic_Sales_User,Sales Rep/Manager,,,,FALSE,FALSE
IPS_Senior_Consultant1,IPS Senior Consultant,PSE,pse,,FALSE,FALSE
PSA_Operations,PSA Operations,PSE,pse,,FALSE,FALSE
PSA_User1,PSA User,PSE,pse,,FALSE,FALSE
Deal_strategy_User1,Deal strategy User,,,,FALSE,FALSE
Altify_Normal_User1,Altify Normal User,Altify,ALTF,,TRUE,FALSE
Finance_CMS_User1,Finance CMS User,,,,FALSE,FALSE
Legal_Agreement_Users1,Legal Agreement Users,,,,FALSE,FALSE
SOG,SOG,,,,FALSE,FALSE
Customer_Success_Technologist,Customer Success Technologist,Jira/zAgile;Altify;CSM,zsfjira;ALTF;DMAPP_SAM,,FALSE,FALSE
PSA_Resource_Manager,PSA Resource Manager,PSE,pse,,FALSE,FALSE
IPS_Subcon_Retainer,IPS Subcon-Retainer,PSE,pse,,FALSE,FALSE
CPQ_Approvals_Admin_Renewals2,CPQ Approvals Admin,,,,FALSE,FALSE
IPS_Portfolio_Owner,IPS Portfolio Owner,PSE,pse,,FALSE,FALSE
CPQ_Billing2,CPQ Billing,Salesforce CPQ License,,SalesforceCPQ_CPQStandardPerm,FALSE,FALSE
Generic_Sales_BDM,Generic Sales BDM,,,,FALSE,FALSE
IPS_Delivery_Manager1,IPS Delivery Manager,PSE,pse,,FALSE,FALSE
KB_Author,KB Author,,,,FALSE,FALSE
PSA_Operations1,PSA Operations,PSE,pse,,FALSE,FALSE
CPQ_Approvals_Admin_Renewals,CPQ Approvals Admin,Salesforce CPQ License;Salesforce CPQ AA License,,SalesforceCPQ_CPQStandardPerm;SalesforceCPQ_CPQAAPerm,TRUE,FALSE
CPQ_Quote,CPQ Quote,Salesforce CPQ License,,SalesforceCPQ_CPQStandardPerm,TRUE,FALSE
Customer_Success_Operations1,Customer Success Operations,Jira/zAgile;Altify;CSM,zsfjira;ALTF;DMAPP_SAM,,FALSE,FALSE
KB_PAM_EOL1,KB PAM EOL,,,,FALSE,FALSE
IPS_Enablement1,IPS Enablement,PSE,pse,,FALSE,FALSE
IPS_Regional_Director1,IPS Regional Director,PSE,pse,,FALSE,FALSE
PSA_Project_Manager_Hybrid,PSA Project Manager Hybrid,PSE,pse,,FALSE,FALSE
